File Name,Bag Of Words,Dominant Topic 1,Dominant Topic 2,Dominant Topic 3
0b0BSZ084wya7hqk.txt,"['walk', 'give', 'name', 'look', 'take', 'good', 'look', 'pecs', 'put', 'clipboard', 'open', 'rope', 'stache', 'walk', 'duffle', 'hanging', 'hat', 'tilted', ""i'm"", 'inside', 'eye', 'dream', 'bedroom', 'suprise', 'call', 'climbing', 'call', 'visibility', 'call', 'coolness', 'call', 'visibility', 'call', 'way', 'rowdy', 'call', 'finally', 'free', ""there's"", 'girl', 'lip', 'never', 'seen', 'come', 'dance', 'look', 'eye', 'say', 'hey', 'dyke', 'say', 'call', 'climbing', 'call', 'visibility', 'call', 'coolness', 'call', 'visibility', 'call', 'way', 'rowdy', 'call', 'finally', 'free', ""there's"", 'slap', 'back', 'find', 'another', 'butch', 'hat', 'cocked', 'put', 'hand', 'crowd', 'jump', 'call', 'climbing', 'call', 'visibility', 'call', 'coolness', 'call', 'visibility', 'call', 'way', 'rowdy', 'call', 'finally', 'free', 'two_three', 'four', 'call', 'climbing', 'call', 'visibility', 'call', 'coolness', 'call', 'visibility', 'call', 'way', 'rowdy', 'call', 'finally', 'free', 'free', 'free', 'free', 'free']",Topic 15,Topic 11,Topic 6
0B2bXOAXyevoV57H.txt,"[""i'm"", 'pretty', 'sure', ""can't"", 'take', 'anymore', 'take', 'swing', 'wonder', 'fighting', 'say', 'loud', 'want', 'get', 'wonder', 'anything', ""i'm"", 'going', 'miss', 'wonder', 'going', 'know', ""how's"", 'going', 'sure', ""i'm"", ""how's"", 'going', ""there's"", 'one', 'talk', 'cause', 'care', ""how's"", 'going', ""how's"", 'going', 'used', 'laugh', ""there's"", 'shouting', 'match', 'sharp', 'thumbnail', 'scratch', 'silence', ""can't"", 'ignore', 'like', 'hammock', 'doorway', 'spent', 'time', 'swing', 'empty', 'see', 'lightning', 'like', 'last', 'fall', 'always', 'hit', 'wonder', ""how's"", 'going', ""how's"", 'going', 'around', ""how's"", 'going', 'found', 'nothing', 'cause', 'care', ""how's"", 'going', ""how's"", 'going', 'know', 'anymore', ""how's"", 'going', 'want', 'get', 'back', 'soft', 'dive', 'oblivion', 'want', 'taste', 'salt', 'skin', 'soft', 'dive', 'oblivion', 'oblivion', ""how's"", 'going', 'know', 'anymore', ""how's"", 'going', ""how's"", 'going']",Topic 14,Topic 11,Topic 3
0b4sh05wi1S3WKKd.txt,"['farewell', 'farewell', 'king', 'knew', 'farewell', 'farewell', 'people', 'people', 'lost', 'found', 'people', 'people', ""we've"", 'hit_ground', 'falling', 'fast', 'falling', 'harder', 'falling', 'faster', 'chain', 'bind', 'seeking', 'departure', 'seeking', 'heavenly', 'future', 'calling', 'call', 'protection', 'calling_calling', 'hand', 'blind', 'make', 'count', 'make', 'make', 'count', 'make', 'danger', 'poison', 'paradigm', 'savage', 'giving', 'poison', 'lip', 'walking', 'mile', 'get', 'obsessed', 'conflicted', 'calculated', 'architect', 'echo', 'new', 'direction', 'fate', 'love', 'desire', 'siren', 'apocalypse', 'poison', 'paradigm', 'savage', 'giving', 'poison', 'lip', 'welcome', 'welcome', 'glory', 'bent', 'welcome', 'welcome', 'island', 'glory_glory', 'begin', 'glory_glory', 'betrayal', 'falling', 'fast', 'falling', 'harder', 'falling', 'faster', 'chain', 'bind', 'seeking', 'departure', 'seeking', 'heavenly', 'future', 'calling', 'call', 'protection', 'calling_calling', 'hand', 'blind', 'make', 'count', 'make', 'make', 'count', 'make', 'danger', 'poison', 'paradigm', 'savage', 'giving', 'poison', 'lip', 'attitude', 'privilege', 'without', 'regret', 'heaven', 'lost', 'sea', 'toxic', 'intuition', 'fate', 'love', 'desire', 'siren', 'apocalypse', 'poison', 'paradigm', 'savage', 'giving', 'poison', 'lip', 'poison', 'paradigm', 'savage', 'giving', 'poison', 'lip', 'poison', 'paradigm', 'savage', 'savage']",Topic 14,Topic 3,Topic 6
0b6sYk8GBxAjtTms.txt,"['deep', 'louisiana', 'close', 'new_orleans', 'way', 'back', 'wood', 'among', 'evergreen', 'stood', 'log', 'cabin', 'made', 'earth', 'wood', 'lived', 'country', 'boy', 'named', 'johnny', 'goode', 'never', 'ever', 'learned', 'read', 'write', 'well', 'could', 'play_guitar', 'like', 'ringing_bell', 'johnny_johnny', 'johnny_johnny', 'johnny', 'goode', 'used', 'carry', 'guitar', 'gunny', 'sack', 'sit', 'beneath', 'tree', 'railroad_track', 'engineer', 'would', 'see', 'sitting', 'shade', 'stroming', 'rhythm', 'driver', 'made', 'people', 'passing', 'would', 'stop', 'say', 'little', 'country', 'boy', 'could', 'play', 'johnny_johnny', 'johnny_johnny', 'johnny', 'goode', 'mother', 'told', 'someday', 'would', 'man', 'leader', ""big_ol'"", 'band', 'many', 'people', 'coming', 'mile', 'around', 'hear', 'play', 'music', 'sun', 'maybe', 'someday', 'name', 'would', 'light', 'saying', 'johnny', 'goode', 'tonight', 'johnny_johnny', 'johnny_johnny', 'johnny', 'goode']",Topic 14,Topic 7,Topic 11
fpOMtLemgIXO959m.txt,"['nothing', 'left', 'give', 'reason', 'live', 'nothing', 'left', 'lose', 'nothing', 'left', 'use', 'owe', 'nothing', 'control', 'merchandise', 'keep', 'line', 'common_sense', 'say', 'design', 'could', 'businessman', 'ever', 'want', 'sucking', 'store', 'owe', 'nothing', 'control']",Topic 14,Topic 6,Topic 7
fpq0npep55Jh27wt.txt,"['light', 'greatest', 'find', 'world', 'full', 'wrong', 'thing', ""that's"", 'right', 'finally', 'made', 'lonely', 'side', 'set', ""heart's"", 'motion', 'every', 'word', 'feel', 'like', 'shooting_star', ""i'm"", 'edge', 'emotion', 'watching', 'shadow', 'burning', 'dark', ""i'm"", 'love', ""i'm"", 'terrified', 'first', 'time', 'last', 'time', 'life', 'could', 'good', 'already', 'better', ""nothing's"", 'worse', 'knowing', 'holding', 'back', 'could', 'need', 'let', 'try', 'set', ""heart's"", 'motion', 'every', 'word', 'feel', 'like', 'shooting_star', ""i'm"", 'edge', 'emotion', 'watching', 'shadow', 'burning', 'dark', ""i'm"", 'love', ""i'm"", 'terrified', 'first', 'time', 'last', 'time', 'said', 'cause', 'mean', 'mean', 'cause', 'true', 'doubt', ""i've"", 'dreaming', 'cause', 'fill', 'hold', 'close', 'whenever', ""i'm"", 'without', 'set', ""heart's"", 'motion', 'every', 'word', 'feel', 'like', 'shooting_star', 'watching', 'shadow', 'burning', 'dark', ""i'm"", 'love', ""i'm"", 'terrified', 'first', 'time', 'last', 'time', 'life']",Topic 1,Topic 14,Topic 10
fpRBstXrRkPz2Gjc.txt,"['put', 'brave', 'face', 'act', 'like', 'earthquake', 'come', 'right', 'tear', 'everything', ""we've"", 'built', 'inside', 'beautiful', 'safe', 'space', 'room', ""i'm"", 'losing', 'sight', 'stranger', 'simply', 'passing', 'heart', 'supposed', 'hurt', 'like', ""they're"", 'supposed', 'break', 'fast', 'say', ""time's"", 'healer', ""long's"", 'burn', 'supposed', 'last', 'proud', 'say', 'let', 'leave', 'straight', 'spite', ""i'm"", 'missing', 'sometimes', 'wish', 'miss', 'maybe', ""i'm"", 'hoping', 'proud', 'say', 'maybe', ""i've"", 'dreaming_dreaming', 'come', 'right', 'back', 'heart', 'supposed', 'hurt', 'like', ""they're"", 'supposed', 'break', 'fast', 'say', ""time's"", 'healer', ""long's"", 'burn', 'supposed', 'last', 'could', 'ask', 'smoking_gun', 'feel', 'hurt', 'someone', 'would', 'ask', 'could', 'ask', 'someone', 'love', 'feel', 'lose', 'someone', 'would', 'ask', 'could', 'ask', 'smoking_gun', 'feel', 'hurt', 'someone', 'would', 'ask', 'could', 'ask', 'someone', 'love', 'feel', 'lose', 'someone', 'would', 'ask', 'heart', 'supposed', 'hurt', 'like', ""they're"", 'supposed', 'break', 'fast', 'say', ""time's"", 'healer', ""long's"", 'burn', 'supposed', 'last', 'heart', 'supposed', 'hurt', 'like', ""they're"", 'supposed', 'break', 'fast', 'say', ""time's"", 'healer', ""long's"", 'burn', 'supposed', 'last']",Topic 14,Topic 7,Topic 2
fPReNspdL8f4y20H.txt,"['feel', 'far', 'home', 'till', 'light', 'start', 'fading', 'street', 'come', 'alive', 'night', ""we're"", 'alone', 'thought', 'naked', 'tonight', 'neon', 'glow', 'lit', 'like', 'firefly', 'circuit', 'aligned', 'ready', 'open', 'better', 'entwine', 'breathing', 'binary', 'system', 'inline', 'searching', 'frequency', 'scanning', 'time', 'lost', 'datastream', ""that's"", 'leaking', 'mind', 'feel', 'alone', 'light', 'start', 'fading', 'bathe', 'shadow', 'city', 'far', 'come', 'hide', 'away', 'tonight', 'neon', 'home', 'glowing', 'like', 'firefly', 'datastream', 'online', 'ready', 'flow', 'open', 'better', 'entwine', 'breathing', 'binary', 'system', 'inline', 'searching', 'frequency', 'scanning', 'time', 'lost', 'datastream', ""that's"", 'leaking', 'mind', 'open', 'better', 'entwine', 'breathing', 'binary', 'system', 'inline', 'searching', 'frequency', 'scanning', 'time', 'lost', 'datastream', 'open', 'better', 'entwine', 'breathing', 'binary', 'system', 'inline', 'searching', 'frequency', 'scanning', 'time', 'lost', 'datastream', ""that's"", 'leaking', 'mind']",Topic 14,Topic 11,Topic 5
FpSHrgYPnwJvVuZE.txt,"['london', 'low', 'tide', 'night', 'taxi_cab', 'sight', 'anesthetized', 'start', 'journey', 'home', ""i've"", 'living', 'month', 'alone', ""i've"", 'avoiding', 'thing', 'phone', 'ring', 'use', 'answerphone', 'inside', 'daytime', 'outside', 'night', 'time', 'inside', 'daytime', 'outside', 'night', 'time', 'troubled', 'tell', 'friend', 'tell', 'family', 'let', 'talk', ""i'm"", 'gonna', 'let', 'nobody', 'soho', 'high', 'tide', 'day', ""i'm"", 'swept_away', 'forget', 'use', 'walkman', 'walk', 'talk', 'later', ""moment's"", 'gone', 'get', 'inside', 'daytime', 'outside', 'night', 'time', 'inside', 'daytime', 'wrong', 'right', 'time', 'troubled', 'tell', 'friend', 'tell', 'family', 'let', 'talk', ""i'm"", 'gonna', 'let', 'nobody', 'shall', 'tonight', ""who's"", 'gonna', 'see', 'tonight', 'shall', 'tonight', 'inside', 'daytime', 'wrong', 'right', 'time', 'wanna', 'know', ""i'm"", 'good', 'outside', 'night', 'time', 'right', 'wrong', 'time', 'wanna', 'know', ""i'm"", 'good', 'troubled', 'tell', 'friend', 'tell', 'family', 'let', 'talk', ""i'm"", 'gonna', 'let', 'nobody', 'let', 'talk', ""i'm"", 'gonna', 'let', 'nobody']",Topic 14,Topic 1,Topic 2
fpspvnC1jELCCN1C.txt,"[""can't"", 'stop', ""can't"", 'stop', 'beat', 'stop', 'stop', 'beat', 'everybody', 'move', 'foot', 'feel', 'united', 'everybody', 'move', 'foot', 'feel', 'united', 'yeah', ""goin'"", 'town', 'yeah', ""goin'"", 'town', 'yeah', ""goin'"", 'town', 'yeah', ""goin'"", 'town', 'yeah', 'stop', 'beat', ""can't"", 'control', 'foot', 'people', 'street', ""c'mon"", 'everybody', 'move', 'foot', 'stop', 'stop', 'stop', 'beat', ""can't"", 'stop', ""can't"", 'stop', ""can't"", 'stop', 'beat', 'stop', 'stop', 'stop', 'beat', 'everybody', 'move', 'foot', 'feel', 'united', 'everybody', 'move', 'foot', 'feel', 'united', 'yeah', 'going', 'town', 'yeah', 'going', 'town', 'yeah', 'going', 'town', 'yeah', 'going', 'town', 'yeah', 'sing_song', 'sing_along', 'put', 'record', 'trouble', 'dead', 'gone', 'stop', 'stop', 'stop', 'beat', ""can't"", 'stop', ""can't"", 'stop', ""can't"", 'stop', 'beat', 'stop', 'stop', 'stop', 'beat', 'everybody', 'move', 'foot', 'feel', 'united', 'everybody', 'move', 'foot', 'feel', 'united', 'yeah', 'yeah', 'yeah', 'yeah', 'stop', 'stop', 'stop', 'beat', ""can't"", 'stop', ""can't"", 'stop', ""can't"", 'stop', 'beat', 'stop', 'stop', 'stop', 'beat', 'everybody', 'move', 'foot', 'feel', 'united', 'everybody', 'move', 'foot', 'feel', 'united', 'everybody', 'move', 'foot', 'feel', 'united', 'yeah']",Topic 9,Topic 14,Topic 10
